T1Time,T1Pos,T1Vel,T1Acc,T2Time,T2Pos,T2Vel,T2Acc,T3Time,T3Pos,T3Vel,T3Acc,T4Time,T4Pos,T4Vel,T4Acc,T5Time,T5Pos,T5Vel,T5Acc,T6Time,T6Pos,T6Vel,T6Acc
4,1.377488,0.345191389,-0.036893673,4,1.422764,0.3267075,0.06987037,4,1.424136,0.318323056,0.040545988,4,1.3941235,0.320323889,-0.096230556,4,1.425165,0.314130833,0.054996451,4,1.473528,0.326802778,0.014027006
4.05,1.3948095,0.334425,-0.11274537,4.05,1.441972,0.330804444,0.056531481,4.05,1.438542,0.329565833,0.130530556,4.05,1.4109305,0.312225278,0.018685031,4.05,1.4418005,0.322324722,0.087232099,4.05,1.4898205,0.326898056,0.010321759
4.1,1.410759,0.327660278,-0.073734414,4.1,1.456035,0.33271,0.02900679,4.1,1.4568925,0.342809444,0.026836574,4.1,1.4243075,0.323086944,0.119891204,4.1,1.45775,0.325183056,0.069235185,4.1,1.506113,0.328613056,-0.005769599
4.15,1.427566,0.3215625,0.059601543,4.15,1.475243,0.333376944,-0.000317593,4.15,1.474214,0.333376944,-0.091943056,4.15,1.4435155,0.329756389,0.12560787,4.15,1.474214,0.329375278,0.038058179,4.15,1.52292,0.326231111,-0.01815571
4.2,1.4418005,0.335473056,0.156202623,4.2,1.4894775,0.3318525,-0.010268827,4.2,1.490335,0.322038889,-0.020272994,4.2,1.457407,0.336235278,0.10618179,4.2,1.4908495,0.329661111,-0.003546451,4.2,1.538698,0.324706667,0.005663735
4.25,1.46118,0.348240278,0.05446713,4.25,1.5083425,0.3318525,-0.006775309,4.25,1.5052555,0.32928,0.09204892,4.25,1.477301,0.338426667,0.101153241,4.25,1.5073135,0.327755556,-0.017255864,4.25,1.555162,0.327088611,0.023395988
4.3,1.4778155,0.340713333,-0.055155247,4.3,1.5227485,0.330709167,0.00555787,4.3,1.5230915,0.340618056,0.049544444,4.3,1.490678,0.349478889,0.037264198,4.3,1.523606,0.326040556,0.00629892,4.3,1.5714545,0.328708333,0.010904012
4.35,1.4949655,0.336330556,-0.058701698,4.35,1.5412705,0.332043056,0.02170216,4.35,1.5402415,0.336521111,-0.042345679,4.35,1.512973,0.346144167,-0.086914506,4.35,1.539727,0.327946111,0.042716204,4.35,1.58809,0.329089444,-0.017467593
4.4,1.511258,0.334234444,-0.035729167,4.4,1.555848,0.334806111,0.007092901,4.4,1.5567055,0.3318525,-0.061348302,4.4,1.525664,0.336806944,-0.130318827,4.4,1.5563625,0.330995,0.070399691,4.4,1.604554,0.326135833,-0.029694907
4.45,1.528408,0.333186389,-0.009898302,4.45,1.575056,0.332805278,-0.005240278,4.45,1.573341,0.327946111,-0.027683488,4.45,1.5467585,0.325659444,-0.042398611,4.45,1.5728265,0.334996667,0.093848611,4.45,1.620675,0.323563333,0.005928395
4.5,1.544529,0.333281667,0.013021296,4.5,1.589119,0.331185556,0.035252778,4.5,1.5892905,0.328708333,0.019531944,4.5,1.55722,0.332138333,0.053037963,4.5,1.589805,0.340236944,0.106499383,4.5,1.6366245,0.326993333,0.031388735
4.55,1.561679,0.334520278,0.035464506,4.55,1.6078125,0.336330556,0.069817438,4.55,1.6060975,0.331757222,0.031653395,4.55,1.579858,0.340236944,-0.009474846,4.55,1.606612,0.348430833,0.062354012,4.55,1.6534315,0.328517778,0.01587963
4.6,1.5779715,0.336902222,0.050550154,4.6,1.622733,0.340999167,0.050867747,4.6,1.6225615,0.333376944,0.012809568,4.6,1.592206,0.332900556,-0.106393519,4.6,1.6249625,0.350336389,-0.047691821,4.6,1.6692095,0.333376944,-0.073946142
4.65,1.595293,0.339760556,0.057166667,4.65,1.641941,0.345191389,-0.03456466,4.65,1.63954,0.332805278,-0.004763889,4.65,1.6133005,0.322134167,-0.086332253,4.65,1.642284,0.340713333,-0.104540895,4.65,1.687903,0.319275833,-0.116821142
4.7,1.611757,0.345763056,0.013815278,4.7,1.658062,0.334996667,-0.080668519,4.7,1.6558325,0.332233611,-0.008680864,4.7,1.6235905,0.323468056,-0.036099691,4.7,1.658748,0.335187222,-0.074422531,4.7,1.700937,0.310129167,0.040493056
4.75,1.630622,0.33957,-0.007061142,4.75,1.674869,0.333186389,-0.051386481,4.75,1.672811,0.330995,0.004901512,4.75,1.6458855,0.323086944,-0.047236605,4.75,1.675555,0.333758056,-0.040789475,4.75,1.7175725,0.324230278,0.175448735
